"Story","Title","Result","Date","Stability","Duration (s)"
"Book movie ticket for PVR cinemas","Book a movie ticket using the mobile application , ios","PENDING","2021-02-09T19:24:05.726+05:30[Asia/Calcutta]","0.0","0.03"
"Book movie ticket for PVR cinemas","Book a movie ticket using the mobile application","PENDING","2021-02-09T19:24:05.759+05:30[Asia/Calcutta]","0.0","0.02"
