"Story","Title","Result","Date","Stability","Duration (s)"
"Understand the usage of background keyword","To check if the user profile icon is displayed","SUCCESS","2021-02-09T19:24:03.613+05:30[Asia/Calcutta]","0.0","0.25"
"Understand the usage of background keyword","To check if the menu option is displayed","SUCCESS","2021-02-09T19:24:03.865+05:30[Asia/Calcutta]","0.0","0.04"
